asin,title,author,stars,price,isKindleUnlimited,publishedDate,category_name
B0B1Y368WB,"The Emotional Lives of Teenagers: Raising Connected, Capable, and Compassionate Adolescents",Lisa Damour Ph.D.,4.7,13.99,False,2023-02-21,Parenting & Relationships
B08M9YNQXJ,The Off Limits Rule: A Romantic Comedy (It Happened in Nashville Book 1),Sarah Adams,4.2,4.99,False,,Parenting & Relationships
B01CO348EO,How to Talk so Little Kids Will Listen: A Survival Guide to Life with Children Ages 2-7 (The How To Talk Series),Joanna Faber,4.7,13.99,False,,Parenting & Relationships
B00IHZ91T6,"Men Are from Mars, Women Are from Venus: The Classic Guide to Understanding the Opposite Sex",John Gray,4.6,14.49,False,,Parenting & Relationships
B00MNNAODK,Bringing Up Bébé: One American Mother Discovers the Wisdom of French Parenting (now with Bébé Day by Day: 100 Keys to French Parenting),Pamela Druckerman,4.7,14.99,False,2014-09-30,Parenting & Relationships
B01N5PY4ZN,The State of Affairs: Rethinking Infidelity,Esther Perel,4.6,14.99,False,2017-10-10,Parenting & Relationships
B07B7C4F9C,"The Bullet Journal Method: Track the Past, Order the Present, Design the Future",Ryder Carroll,4.6,14.99,False,2018-10-23,Parenting & Relationships
B07MTBJKBM,"Raising Good Humans: A Mindful Guide to Breaking the Cycle of Reactive Parenting and Raising Kind, Confident Kids",Hunter Clarke-Fields MSAE,4.7,9.99,False,2019-12-01,Parenting & Relationships
B0BR4FDB44,Lost in Trans Nation: A Child Psychiatrist's Guide Out of the Madness,Miriam Grossman,4.7,16.99,False,2023-07-18,Parenting & Relationships
B079VTH6RH,Eight Dates: Essential Conversations for a Lifetime of Love,John Gottman,4.7,13.99,False,2019-02-05,Parenting & Relationships
B09ZNNZQ41,Unoffendable: How Just One Change Can Make All of Life Better (updated with two new chapters),Brant Hansen,4.8,9.99,False,2023-01-10,Parenting & Relationships
B08966MZNX,Anne Of Green Gables Complete 8 Book Set,L. M. Montgomery,4.8,1.99,False,2023-09-25,Parenting & Relationships
B0BVPXLGCD,"Unsafe: Damian longs for home, but one man stands in his way",Cathy Glass,4.7,2.99,False,2023-08-31,Parenting & Relationships
B00DRLH2ZA,When the Body Says No,Gabor Maté M.D.,4.7,13.97,False,2008-05-02,Parenting & Relationships
B00KVRDACW,What to Expect the First Year,Heidi Murkoff,4.8,11.99,False,,Parenting & Relationships
B079H8LL9L,Real Food for Pregnancy: The Science and Wisdom of Optimal Prenatal Nutrition,Lily Nichols,4.7,9.99,False,2018-02-23,Parenting & Relationships
B0BRXMM58L,Love Your Kids Without Losing Yourself: 5 Steps to Banish Guilt and Beat Burnout When You Already Have Too Much to Do,Morgan Cutlip,4.5,14.99,False,2023-09-19,Parenting & Relationships
